12:20:34.711 [http-nio-auto-1-exec-2] INFO  c.e.u.p.c.BeneficioController - Se agregó un nuevo beneficio con ID: Nuevo Beneficio 1
12:20:34.728 [http-nio-auto-1-exec-3] INFO  c.e.u.p.c.BeneficioController - Se agregó un nuevo beneficio con ID: Nuevo Beneficio 2
12:20:34.783 [http-nio-auto-1-exec-5] INFO  c.e.u.p.c.BeneficioController - Se agregó un nuevo beneficio con ID: Nuevo Beneficio 1
12:20:34.849 [http-nio-auto-1-exec-6] INFO  c.e.u.p.controller.ClienteController - Se agregó un nuevo cliente con cédula: 123456, y correo: juangoru@gmail.com
12:20:34.867 [http-nio-auto-1-exec-7] WARN  c.e.u.p.controller.ClienteController - No se pudo realizar la compra para el cliente con cédula: 123456, debido a: Esta cedula no esta registrada en puntos 
12:20:34.884 [http-nio-auto-1-exec-8] INFO  c.e.u.p.controller.ClienteController - Se agregó un nuevo cliente con cédula: 12, y correo: juangoru@gmail.com
12:20:34.906 [http-nio-auto-1-exec-9] INFO  c.e.u.p.controller.ClienteController - Se ha afiliado a puntos al cliente con cédula: 12
12:20:34.922 [http-nio-auto-1-exec-10] INFO  c.e.u.p.controller.ClienteController - Se ha hecho un compra por valor de $1000, para el cliente con cédula: 12
12:20:34.932 [http-nio-auto-1-exec-1] INFO  c.e.u.p.c.BeneficioController - Se agregó un nuevo beneficio con ID: Nuevo Beneficio 1
12:20:34.976 [http-nio-auto-1-exec-2] INFO  c.e.u.p.controller.ClienteController - Se remidió el beneficio con ID: 1 para el cliente con cédula: 12
12:20:34.992 [http-nio-auto-1-exec-3] INFO  c.e.u.p.controller.ClienteController - Se agregó un nuevo cliente con cédula: 1234, y correo: juangoru@gmail.com
12:20:35.004 [http-nio-auto-1-exec-4] INFO  c.e.u.p.controller.ClienteController - Se ha afiliado a puntos al cliente con cédula: 1234
12:20:35.018 [http-nio-auto-1-exec-5] WARN  c.e.u.p.controller.ClienteController - No se pudo agregar el cliente debido a: Ya se encuentra registrado el cliente
12:20:35.027 [http-nio-auto-1-exec-6] WARN  c.e.u.p.controller.ClienteController - No se pudo agregar el cliente debido a: Ya se encuentra registrado el cliente
